candidate_id,llm_score,llm_sd,n_reps,small_bundle
C0004,0.6599999999999999,0.0894427190999916,5,False
C0005,-0.616,0.11523888232710346,5,False
C0006,0.6,0.1414213562373095,5,False
C0010,0.696,0.03646916505762094,5,False
C0011,-0.6,0.15811388300841897,5,False
C0017,-0.664,0.13126309458488322,5,False
C0040,-0.6199999999999999,0.04472135954999577,5,False
C0043,0.674,0.11781341180018517,5,False
C0046,0.6900000000000001,0.05873670062235365,5,False
C0049,-0.488,0.13516656391282575,5,False
C0050,0.54,0.16355427233796124,5,False
C0062,0.6799999999999999,0.12549900398011135,5,False
C0066,0.45,0.07905694150420949,5,False
C0068,0.7060000000000001,0.09044335243676012,5,False
C0072,0.5599999999999999,0.16355427233796127,5,False
C0075,-0.61,0.12449899597988727,5,False
C0085,-0.756,0.03781534080237811,5,True
C0088,0.654,0.06767569726275455,5,True
C0089,-0.61,0.04183300132670377,5,False
C0093,-0.616,0.10382677881933933,5,False
C0101,-0.53,0.05700877125495691,5,True
C0104,-0.62,0.05700877125495688,5,False
C0107,-0.06,0.1673320053068151,5,False
C0111,-0.5,0.07905694150420947,5,False
C0134,0.7060000000000001,0.056391488719486765,5,False
C0142,0.736,0.06877499545619763,5,False
C0144,0.43,0.05700877125495689,5,False
C0146,0.44000000000000006,0.10839741694339403,5,False
C0155,0.37,0.12549900398011132,5,False
C0170,-0.62,0.05700877125495689,5,False
C0174,-0.79,0.022360679774997935,5,False
C0184,-0.54,0.05477225575051661,5,False
C0192,-0.49000000000000005,0.08215838362577495,5,False
C0193,0.72,0.07582875444051551,5,False
C0196,-0.5640000000000001,0.03507135583350033,5,False
C0201,0.44000000000000006,0.13874436925511607,5,False
C0209,-0.656,0.06268971207462991,5,True
C0226,0.744,0.037815340802378104,5,False
C0228,0.414,0.11282730166054669,5,False
C0237,-0.5559999999999999,0.09964938534682488,5,False
C0242,-0.364,0.2114946807841748,5,False
C0244,-0.5900000000000001,0.14317821063276354,5,False
C0250,-0.64,0.022360679774997904,5,True
C0256,-0.5,0.0353553390593274,5,True
C0258,0.44000000000000006,0.06519202405202651,5,True
C0263,-0.51,0.14317821063276354,5,False
C0264,0.626,0.10667708282475669,5,False
C0265,-0.6,0.16201851746019655,5,False
C0267,-0.55,0.035355339059327376,5,True
C0277,0.526,0.12700393694685216,5,False
C0293,0.8300000000000001,0.04472135954999579,5,False
C0294,-0.58,0.09746794344808962,5,False
C0299,0.37,0.09082951062292476,5,False
C0305,0.73,0.04472135954999582,5,False
C0321,-0.52,0.1254990039801113,5,False
C0324,0.5860000000000001,0.04159326868617086,5,True
C0327,0.6060000000000001,0.06841052550594827,5,False
C0330,-0.6759999999999999,0.05594640292279748,5,False
C0333,-0.6,0.1224744871391589,5,False
C0338,0.75,0.07905694150420949,5,False
C0340,0.65,0.07905694150420944,5,True
C0343,-0.666,0.0634822809924155,5,False
C0347,0.12,0.2079663434308542,5,False
C0357,-0.29,0.20124611797498107,5,False
C0366,0.386,0.10114346246792229,5,False
C0371,0.13999999999999999,0.13874436925511607,5,False
C0376,-0.124,0.14536161804272818,5,False
C0398,0.43,0.02738612787525829,5,True
C0399,-0.636,0.09476286192385705,5,False
C0412,-0.16,0.11937336386313321,5,False
C0416,-0.24,0.0547722557505166,5,False
C0417,0.43000000000000005,0.07582875444051553,5,False
C0419,0.52,0.0570087712549569,5,False
C0420,-0.5900000000000001,0.08944271909999157,5,False
C0423,0.73,0.12549900398011132,5,False
C0428,-0.71,0.11937336386313323,5,False
C0442,0.63,0.09746794344808968,5,False
C0445,0.009999999999999998,0.12942179105544785,5,False
C0449,0.6839999999999999,0.0776530746332687,5,False
C0450,-0.42000000000000004,0.25396850198400583,5,False
C0451,0.8,0.035355339059327376,5,False
C0456,-0.26,0.21621748310439654,5,False
C0474,0.53,0.027386127875258317,5,True
C0481,-0.58,0.12041594578792296,5,False
C0485,-0.53,0.05700877125495689,5,False
C0489,-0.634,0.0896102672688794,5,False
C0496,0.5900000000000001,0.1193733638631332,5,False
C0501,-0.48999999999999994,0.15165750888103102,5,False
C0504,-0.6100000000000001,0.054772255750516606,5,False
C0506,-0.746,0.07635443667528427,5,False
C0508,0.834,0.05272570530585629,5,False
C0515,-0.71,0.02236067977499793,5,True
C0534,0.5900000000000001,0.12449899597988731,5,False
C0549,-0.44000000000000006,0.06519202405202648,5,False
C0552,0.77,0.06708203932499372,5,True
