candidate_id,rt_share_A,log10_vol_A,topic_entropy_A
C0004,0.4745762711864407,1.7708520116421442,1.6636636464821766
C0005,0.37037037037037035,1.7323937598229686,1.99757493985586
C0006,0.175,1.6020599913279623,2.018731958004575
C0010,0.28125,1.505149978319906,1.9809856718676084
C0011,0.297029702970297,2.0043213737826426,2.0638443880586466
C0017,0.5523809523809524,2.0211892990699383,1.426409672665709
C0040,0.23170731707317074,1.9138138523837167,2.141084339761421
C0043,0.4444444444444444,1.9084850188786497,1.7934392275709874
C0046,0.2605633802816901,2.1522883443830563,2.1890164021421263
C0049,0.10344827586206896,1.462397997898956,2.1391327685674644
C0050,0.25196850393700787,2.103803720955957,2.0165368811784377
C0062,0.5284552845528455,2.089905111439398,1.6237160306113598
C0066,0.25,1.6434526764861874,2.000674563874275
C0068,0.09523809523809523,1.7993405494535817,2.0995433255563176
C0072,0.15384615384615385,2.0170333392987803,2.4707997269272615
C0075,0.12727272727272726,1.7403626894942439,2.0841530026596105
C0085,0.1,1.3010299956639813,1.9172155185650603
C0088,0.0,1.3424226808222062,1.8315887189462852
C0089,0.05,1.6020599913279623,2.2472468317988223
C0093,0.375,1.7481880270062005,1.9780929065882684
C0101,0.0,0.9542425094393249,1.6769877743224173
C0104,0.3333333333333333,1.6812412373755872,1.9975576691570014
C0107,0.2727272727272727,1.5185139398778875,1.998884837384292
C0111,0.29411764705882354,1.5314789170422551,1.9039107371187012
C0134,0.30434782608695654,1.662757831681574,2.039584962568633
C0142,0.5961538461538461,1.7160033436347992,1.425863424257918
C0144,0.48,1.3979400086720377,1.6379582118563913
C0146,0.13157894736842105,1.5797835966168101,2.227995899654829
C0155,0.21052631578947367,1.5797835966168101,2.1143081309515277
C0170,0.14705882352941177,1.5314789170422551,2.1759705563280143
C0174,0.4,1.5440680443502757,1.813921536831093
C0184,0.32673267326732675,2.0043213737826426,1.9139223525325308
C0192,0.32727272727272727,1.7403626894942439,1.9275319027889757
C0193,0.0547945205479452,1.863322860120456,2.1144746714357407
C0196,0.6551724137931034,1.9395192526186185,1.256403561815719
C0201,0.475,1.6020599913279623,1.6686166398653035
C0209,0.4,1.3010299956639813,1.4616359728134236
C0226,0.4418604651162791,1.6334684555795864,1.7957264185172277
C0228,0.3969465648854962,2.1172712956557644,1.994358564273161
C0237,0.12698412698412698,1.7993405494535817,2.1734333100251297
C0242,0.1774193548387097,2.093421685162235,2.188655868977446
C0244,0.19718309859154928,1.8512583487190752,2.159465924141629
C0250,0.5833333333333334,1.380211241711606,1.3857526552288733
C0256,0.15789473684210525,1.2787536009528289,2.2051551011994586
C0258,0.4375,1.2041199826559248,1.4226300262075475
C0263,0.49230769230769234,1.8129133566428555,1.7136626595486835
C0264,0.4,1.6989700043360187,1.9827501666555782
C0265,0.6448598130841121,2.0293837776852097,1.4381204484695844
C0267,0.21739130434782608,1.3617278360175928,1.7111935422545053
C0277,0.109375,1.806179973983887,2.1930177756125833
C0293,0.1111111111111111,1.5563025007672873,2.2311342816773108
C0294,0.46774193548387094,1.792391689498254,1.7244921188319513
C0299,0.12,1.3979400086720377,2.289787582250306
C0305,0.3918918918918919,1.8692317197309762,1.862684303366362
C0321,0.189873417721519,1.8976270912904414,2.1220264013705727
C0324,0.2727272727272727,1.0413926851582251,1.7201934592198251
C0327,0.4166666666666667,1.5563025007672873,1.909031560360906
C0330,0.4344262295081967,2.0863598306747484,1.9384842467492975
C0333,0.203125,1.806179973983887,2.0340904336167496
C0338,0.2631578947368421,1.5797835966168101,2.0399948381634063
C0340,0.0,1.2304489213782739,1.7930940134110522
C0343,0.14285714285714285,1.7481880270062005,2.027688949838711
C0347,0.2641509433962264,1.724275869600789,1.9558227862117528
C0357,0.2,1.7403626894942439,1.9954727787013178
C0366,0.4605263157894737,1.8808135922807914,1.5232000307848526
C0371,0.2727272727272727,1.7403626894942439,2.110838228782404
C0376,0.08695652173913043,1.662757831681574,2.107307455274449
C0398,0.05,1.3010299956639813,1.8464505986722093
C0399,0.16216216216216217,1.8692317197309762,2.109735643762076
C0412,0.36538461538461536,2.0170333392987803,1.967008681971056
C0416,0.45454545454545453,1.5185139398778875,1.5403058252265165
C0417,0.3142857142857143,1.5440680443502757,1.7962465145194741
C0419,0.3695652173913043,1.662757831681574,2.090331165612181
C0420,0.25842696629213485,1.9493900066449128,1.888182872189979
C0423,0.0547945205479452,1.863322860120456,2.3204989428693112
C0428,0.31645569620253167,2.1986570869544226,1.9533478985609591
C0442,0.22058823529411764,1.8325089127062364,1.8702056059676062
C0445,0.17777777777777778,1.6532125137753437,2.2469522392197985
C0449,0.3333333333333333,1.4313637641589874,1.7095451562745676
C0450,0.0949367088607595,2.1986570869544226,2.3479465646418993
C0451,0.2708333333333333,1.6812412373755872,2.0279579256500613
C0456,0.40816326530612246,2.292256071356476,1.987286109269202
C0474,0.375,0.9030899869919435,1.4941751382893085
C0481,0.05,1.7781512503836436,2.3651328545722996
C0485,0.2112676056338028,2.1522883443830563,2.294220004706046
C0489,0.058823529411764705,1.7075701760979363,2.3385246371247335
C0496,0.1702127659574468,1.6720978579357175,2.0663744877760633
C0501,0.6896551724137931,1.7634279935629373,1.160559466099199
C0504,0.42857142857142855,1.4471580313422192,1.8150981131141761
C0506,0.13414634146341464,1.9138138523837167,1.9469421726739946
C0508,0.08333333333333333,1.6812412373755872,1.8808572109391504
C0515,0.391304347826087,1.3617278360175928,1.6619882878230374
C0534,0.5212765957446809,1.9731278535996986,1.6653916236426438
C0549,0.3448275862068966,1.462397997898956,1.9070597799435829
C0552,0.45,1.3010299956639813,1.5910929054167249
C0567,0.011235955056179775,1.9493900066449128,2.2141378116676953
C0580,0.03125,1.505149978319906,1.987065329416913
C0586,0.2222222222222222,1.255272505103306,1.812142810358472
C0587,0.28,1.8750612633917,2.098890047440021
C0590,0.030303030303030304,1.8195439355418688,2.2247997737083005
C0591,0.15384615384615385,1.414973347970818,1.9154030546671372
C0592,0.2727272727272727,1.6434526764861874,2.19634717331563
C0597,0.5,1.0791812460476249,1.3579778549873245
C0610,0.4230769230769231,1.414973347970818,1.7006941091293017
C0613,0.38461538461538464,1.414973347970818,1.8121160474415718
C0614,0.1875,1.9822712330395684,2.162476014809907
C0621,0.45454545454545453,1.6434526764861874,1.7621736212600894
C0622,0.3269230769230769,1.7160033436347992,1.9983492803996998
C0631,0.4,1.845098040014257,1.6791303097843673
C0634,0.5576923076923077,1.7160033436347992,1.6367141610566092
