candidate_id,candidate_name,handle,party,chamber,state,district,incumbent,n_tweets,share_retweets,mean_distance_to_field
C0001,Sterling Kowalczyk,@KowalczykHQ,D,House,AL,AL-01,False,35,0.2285714285714285,1.0000643391771016
C0002,Ingrid Lindqvist,@ILindqvist2022,R,House,AL,AL-01,True,201,0.4079601990049751,0.9972109780597544
C0003,Gideon Wexford,@GideonWexford2022,D,House,AL,AL-02,False,133,0.1654135338345864,1.0017649933186166
C0004,Colton Solberg,@SolbergHQ,R,House,AL,AL-02,False,118,0.4830508474576271,0.995680123336704
C0005,Jocelyn Lockhart,@JLockhartOfficial,D,House,AL,AL-03,True,107,0.3738317757009345,1.0061653555151997
C0006,Jordan Umbridge,@UmbridgeHQ,R,House,AL,AL-03,False,81,0.1851851851851851,0.9940810643439311
C0007,Maeve Ibarra,@IbarraHQ,D,House,AL,AL-04,True,85,0.5411764705882353,1.0026292920621052
C0008,Vivienne Whitlock,@VWhitlockOfficial,R,House,AL,AL-04,False,74,0.2702702702702703,0.9965491993156301
C0009,Jocelyn Whitlock,@JocelynWhitlock2022,D,House,AL,AL-05,True,91,0.1648351648351648,1.0025430530808845
C0010,Junia Yancey,@YanceyHQ,R,House,AL,AL-05,False,64,0.296875,0.9936637875919891
C0011,Dexter Crowder,@CrowderForCongress,D,House,AL,AL-06,True,201,0.2985074626865671,1.002705276367997
C0012,Grant Crowder,@CrowderHQ,R,House,AL,AL-06,False,103,0.5242718446601942,0.9938170099657633
C0013,Junia Sandoval,@SandovalForCongress,D,House,AL,AL-07,True,53,0.2452830188679245,1.0045144179435612
C0014,Colton Dunmore,@ColtonDunmore2022,R,House,AL,AL-07,False,145,0.2275862068965517,0.9979739738707244
C0015,Elena Kettering,@KetteringHQ,D,House,AK,AK-AL,True,184,0.5434782608695652,1.008693320253142
C0016,Lorenzo Falkner,@Falkner4Congress,R,House,AK,AK-AL,False,47,0.425531914893617,0.9992542461053237
C0017,Kip Kowalczyk,@KipKowalczyk2022,D,House,AZ,AZ-01,True,210,0.5523809523809524,1.0120796022172398
C0018,Tamika Eastwood,@TEastwoodOfficial,R,House,AZ,AZ-01,False,32,0.25,0.9987183789230122
C0019,Grant Nakamura,@NakamuraHQ,D,House,AZ,AZ-02,True,43,0.4186046511627907,1.0080101006493238
C0020,Omar Lindqvist,@OLindqvistOfficial,R,House,AZ,AZ-02,False,169,0.2958579881656805,0.9985866001663575
C0021,Petra Ivester,@Ivester4Congress,I,House,AZ,AZ-02,False,185,0.4216216216216216,0.9947638222865396
C0022,Emmett Barrows,@EBarrows,D,House,AZ,AZ-03,False,52,0.3461538461538461,1.0004501912247596
C0023,Henrietta Prescott,@HenriettaPrescott2022,R,House,AZ,AZ-03,False,96,0.1145833333333333,0.9984866790403131
C0024,Ulysses Tunstall,@TunstallForCongress,D,House,AZ,AZ-04,True,111,0.1531531531531531,1.0049737497770574
C0025,Gustavo Eastwood,@GEastwood,R,House,AZ,AZ-04,False,28,0.1428571428571428,0.9961385329158526
C0026,Mordecai Underhill,@MordecaiUnderhill2022,D,House,AZ,AZ-05,False,99,0.3737373737373737,1.0070865235029085
C0027,Junia Meriwether,@JMeriwether,D,House,AZ,AZ-06,False,80,0.375,1.0112416211297413
C0028,Osric Sandoval,@OsricSandoval2022,R,House,AZ,AZ-06,True,94,0.2553191489361702,1.000375976465214
C0029,Ximena Lockhart,@LockhartHQ,D,House,AZ,AZ-07,True,142,0.2676056338028169,1.0047348972522367
C0030,Yolanda Zablocki,@ZablockiHQ,R,House,AZ,AZ-07,False,122,0.2377049180327868,0.9983705050693858
C0031,Ivan Vasquez-Reed,@IVasquezReedOfficial,D,House,AZ,AZ-08,True,66,0.1818181818181818,1.0069705638100157
C0032,Ignatius Quimby,@QuimbyForCongress,D,House,AZ,AZ-09,False,62,0.4193548387096774,0.9989569315075455
C0033,Jordan Kettering,@JKetteringOfficial,R,House,AZ,AZ-09,False,106,0.0943396226415094,0.9963869199811237
C0034,Lavinia Villanueva,@LaviniaVillanueva2022,D,House,AR,AR-01,True,188,0.0531914893617021,1.0087835424190394
C0035,York Whitlock,@YorkWhitlock2022,R,House,AR,AR-01,False,77,0.1428571428571428,1.0016852759006727
C0036,Tobias Goodwin,@TGoodwin2022,D,House,AR,AR-02,False,249,0.1767068273092369,0.999501575416448
C0037,York Jessup,@YJessup2022,R,House,AR,AR-02,False,53,0.1698113207547169,0.9990362464563649
C0038,Renata Solberg,@RSolberg2022,D,House,AR,AR-03,False,117,0.3504273504273504,1.004291528434675
C0039,Quincy Villanueva,@VillanuevaHQ,R,House,AR,AR-03,True,55,0.3636363636363636,0.9999874000022723
C0040,Delphine Holloway,@DelphineHolloway2022,D,House,AR,AR-04,False,163,0.2331288343558282,1.0036693673524806
C0041,Simone Stanfield,@StanfieldHQ,R,House,AR,AR-04,True,69,0.0144927536231884,0.9954757520602102
C0042,Tamika Villanueva,@TVillanueva,D,House,CA,CA-01,True,46,0.3043478260869565,1.0061650602373424
C0043,Henrietta Solberg,@HSolberg,R,House,CA,CA-01,False,161,0.4472049689440994,0.9968004220882258
C0044,Henrietta Sandoval,@HenriettaSandoval2022,D,House,CA,CA-02,False,122,0.040983606557377,1.003308502658294
C0045,Osric Abernathy,@OAbernathyOfficial,R,House,CA,CA-02,True,52,0.0769230769230769,0.9983531728083348
C0046,Quentin Prescott,@QuentinPrescott2022,R,House,CA,CA-03,False,284,0.2605633802816901,0.9944131251799532
C0047,Lucille Renwick,@LucilleRenwick2022,D,House,CA,CA-04,True,118,0.3305084745762712,1.0031717201582968
C0048,Harlan Falkner,@FalknerHQ,R,House,CA,CA-04,False,77,0.0519480519480519,0.9977548955367106
C0049,Maeve Lockhart,@MaeveLockhart2022,D,House,CA,CA-05,True,59,0.1186440677966101,1.0032029511610998
C0050,Opal Ivester,@IvesterHQ,R,House,CA,CA-05,False,254,0.2559055118110236,0.9991890831036572
C0051,Quincy Renwick,@RenwickHQ,D,House,CA,CA-06,False,103,0.3203883495145631,1.0041354060696412
C0052,Osric Kowalczyk,@OKowalczykOfficial,D,House,CA,CA-07,False,50,0.12,1.006551305227883
C0053,Tallulah Zielinski,@TallulahZielinski2022,R,House,CA,CA-07,False,34,0.2352941176470588,0.9971012207678464
C0054,Ignatius Abernathy,@IAbernathy2022,D,House,CA,CA-08,False,164,0.2134146341463414,0.9996026249238976
C0055,Flora Palafox,@PalafoxHQ,R,House,CA,CA-08,True,155,0.5096774193548387,0.9952878012955788
C0056,Deshawn Calloway,@Calloway4Congress,D,House,CA,CA-09,False,95,0.431578947368421,1.008429413199132
C0057,Cormac Ibarra,@IbarraForCongress,R,House,CA,CA-09,True,112,0.2142857142857142,0.9963481986664253
C0058,Tobias Ivester,@TIvesterOfficial,I,House,CA,CA-09,False,75,0.3066666666666666,0.9955690609299664
C0059,Russell Lockhart,@RussellLockhart2022,R,House,CA,CA-10,True,130,0.5846153846153846,0.9968127699308478
C0060,Rosalind Winterbourne,@WinterbourneHQ,D,House,CA,CA-11,False,84,0.2023809523809523,1.0029003342960527
C0061,Priya Meriwether,@PMeriwether,D,House,CA,CA-12,False,146,0.0753424657534246,0.9995949668625593
C0062,Renata Calloway,@CallowayHQ,R,House,CA,CA-12,True,246,0.532520325203252,0.9905863422692636
C0063,Tobias Underhill,@TUnderhill2022,D,House,CA,CA-13,False,138,0.1231884057971014,1.0057028986258583
C0064,Yolanda Solberg,@YSolberg2022,R,House,CA,CA-13,True,181,0.2596685082872928,1.0024920543673457
C0065,Tallulah Sandoval,@SandovalHQ,D,House,CA,CA-14,True,99,0.5151515151515151,1.00919561077594
C0066,Pete Ibarra,@PeteIbarra2022,R,House,CA,CA-14,False,87,0.2528735632183908,1.003848453494135
C0067,Maeve Barrows,@MaeveBarrows2022,D,House,CA,CA-15,True,63,0.1904761904761904,1.0071434600150055
C0068,Bettina Jessup,@BettinaJessup2022,R,House,CA,CA-15,False,125,0.096,0.9969051727120879
C0069,Rosalind Sandoval,@RosalindSandoval2022,D,House,CA,CA-16,False,119,0.1764705882352941,1.0027696436206486
C0070,York Sandoval,@YorkSandoval2022,R,House,CA,CA-16,True,84,0.119047619047619,1.0000206024998668
C0071,Lavinia Bickford,@LaviniaBickford2022,D,House,CA,CA-17,False,79,0.4050632911392405,1.0057133339064008
C0072,Pete Meriwether,@MeriwetherHQ,R,House,CA,CA-17,True,208,0.1586538461538461,0.9964715116956838
C0073,Ulysses Abernathy,@UlyssesAbernathy2022,D,House,CA,CA-18,True,104,0.173076923076923,1.0034448879044917
C0074,Vera Thackeray,@ThackerayHQ,R,House,CA,CA-18,False,92,0.2717391304347826,0.999478145253892
C0075,Gustavo Bramble,@Bramble4Congress,D,House,CA,CA-19,False,109,0.128440366972477,1.003476835876127
C0076,Flora Bramble,@BrambleForCongress,R,House,CA,CA-19,True,66,0.1515151515151515,0.9993158822593287
C0077,Deshawn Kowalczyk,@DeshawnKowalczyk2022,D,House,CA,CA-20,True,97,0.1030927835051546,1.005736392522857
C0078,Silas Barrows,@SBarrowsOfficial,R,House,CA,CA-20,False,107,0.0747663551401869,1.0016301454189487
C0079,Junia Jankowski,@JankowskiForCongress,D,House,CA,CA-21,False,76,0.5131578947368421,1.0112348989959086
C0080,Quentin Eastwood,@QuentinEastwood2022,R,House,CA,CA-21,False,54,0.3888888888888889,1.0047930932176763
C0081,Grant Delacroix,@GrantDelacroix2022,D,House,CA,CA-22,False,86,0.1395348837209302,1.011044635587305
C0082,Cassidy Rutledge,@RutledgeHQ,R,House,CA,CA-22,True,34,0.4117647058823529,1.0022919615313093
C0083,Quincy Goodwin,@QGoodwin,D,House,CA,CA-23,True,62,0.4354838709677419,1.0013972342020891
C0084,Jocelyn Crowder,@JCrowder2022,R,House,CA,CA-23,False,100,0.3,0.9992462803177199
C0085,Tallulah Underhill,@TUnderhillOfficial,D,House,CA,CA-24,False,41,0.1219512195121951,1.0043701982368798
C0086,Boyd Alcott,@AlcottForCongress,R,House,CA,CA-24,True,75,0.2133333333333333,0.9975438523842423
C0087,Colton Alcott,@AlcottHQ,D,House,CA,CA-25,False,86,0.2325581395348837,1.00538006162589
C0088,Hattie Underhill,@Underhill4Congress,R,House,CA,CA-25,False,43,0.0,1.001203405842637
C0089,Lorenzo Quintanilla,@Quintanilla4Congress,D,House,CA,CA-26,False,79,0.050632911392405,0.9991713854311299
C0090,Marcus Nakamura,@MarcusNakamura2022,R,House,CA,CA-26,False,157,0.1019108280254777,0.9969871669948195
C0091,Noemi Yarborough,@YarboroughHQ,D,House,CA,CA-27,True,98,0.1938775510204081,1.0046708237915416
C0092,Marisol Stanfield,@MStanfield,R,House,CA,CA-27,False,242,0.2892561983471074,0.994650825500191
C0093,Lorenzo Nakamura,@NakamuraForCongress,D,House,CA,CA-28,False,112,0.375,1.007417833234571
C0094,Tallulah Palafox,@TallulahPalafox2022,R,House,CA,CA-28,True,55,0.1272727272727272,0.9965477967340473
C0095,Tamika Vandermeer,@VandermeerForCongress,D,House,CA,CA-29,True,61,0.3934426229508196,1.0011682062834244
C0096,Paloma Wexford,@PWexford,R,House,CA,CA-29,False,209,0.3301435406698564,0.9947011243383707
C0097,Renata Marchetti,@MarchettiHQ,D,House,CA,CA-30,True,123,0.1463414634146341,0.9945776456781481
C0098,Noemi Vasquez-Reed,@NVasquezReed2022,R,House,CA,CA-30,False,67,0.4328358208955223,0.9954810649568199
C0099,Russell Xiong,@RussellXiong2022,D,House,CA,CA-31,True,51,0.2352941176470588,1.008878914041485
C0100,Celeste Crowder,@CCrowderOfficial,R,House,CA,CA-31,False,120,0.1916666666666666,0.9985350319490914
C0101,Maeve Tunstall,@TunstallHQ,D,House,CA,CA-32,True,18,0.0,1.0019685564827403
C0102,Anders Okafor,@OkaforHQ,D,House,CA,CA-33,True,124,0.5161290322580645,1.0061312225145091
C0103,Nadia Quintanilla,@QuintanillaHQ,R,House,CA,CA-33,False,99,0.4444444444444444,0.9975030554216471
C0104,Grant Vandermeer,@GVandermeer2022,D,House,CA,CA-34,False,96,0.34375,1.0021887492669763
C0105,Farrah Stanfield,@StanfieldForCongress,D,House,CA,CA-35,False,88,0.1931818181818181,1.0080400588948766
C0106,Kendall Zablocki,@KZablockiOfficial,R,House,CA,CA-35,True,101,0.3762376237623762,1.0018614727817459
C0107,Omar Pemberton,@PembertonForCongress,D,House,CA,CA-36,True,66,0.2878787878787879,0.9960657847123726
C0108,Colton Lockhart,@LockhartForCongress,D,House,CA,CA-37,False,77,0.1298701298701298,0.9985537023846255
C0109,Harlan Rutledge,@HRutledge,R,House,CA,CA-37,True,115,0.4434782608695652,0.9996730588351851
C0110,Maeve Sandoval,@MaeveSandoval2022,D,House,CA,CA-38,False,70,0.2857142857142857,1.0065280637726197
C0111,Tobias Rutledge,@RutledgeForCongress,D,House,CA,CA-39,False,68,0.3088235294117647,1.0071164902914698
C0112,Ingrid Lockhart,@ILockhart2022,R,House,CA,CA-39,True,150,0.16,0.9965516975164092
C0113,Kip Holloway,@KHollowayOfficial,D,House,CA,CA-40,False,44,0.1590909090909091,1.0040726642596953
C0114,Dexter Fairbanks,@FairbanksForCongress,R,House,CA,CA-40,False,93,0.3870967741935484,0.9961897972413425
C0115,Zelda Marchetti,@ZMarchetti,D,House,CA,CA-41,True,131,0.3511450381679389,1.0114290414433529
C0116,Walker Palafox,@PalafoxForCongress,R,House,CA,CA-41,False,84,0.0952380952380952,1.000645181982016
C0117,York Delacroix,@DelacroixForCongress,D,House,CA,CA-42,True,219,0.5342465753424658,1.011004051458651
C0118,Kendall Barrows,@KBarrows,R,House,CA,CA-42,False,108,0.5092592592592593,0.9907929378893433
C0119,Kip Thackeray,@Thackeray4Congress,D,House,CA,CA-43,False,61,0.4098360655737705,1.001578236539118
C0120,Russell Yarborough,@RussellYarborough2022,R,House,CA,CA-43,True,175,0.28,0.9919568393691397
C0121,Walker Quimby,@QuimbyHQ,D,House,CA,CA-44,True,38,0.3684210526315789,1.005707193919092
C0122,Sterling Okafor,@SterlingOkafor2022,R,House,CA,CA-44,False,78,0.3717948717948718,0.9955620718581552
C0123,Opal Granger,@GrangerHQ,D,House,CA,CA-45,False,101,0.0396039603960396,0.9948469333121388
C0124,Cormac Lindqvist,@LindqvistHQ,R,House,CA,CA-45,False,78,0.2564102564102564,0.99575902157149
C0125,Marcus Whitlock,@MarcusWhitlock2022,D,House,CA,CA-46,False,53,0.0943396226415094,1.0044280479072007
C0126,Quentin Stanfield,@QStanfield,R,House,CA,CA-46,False,234,0.2606837606837607,0.998122424047498
C0127,Nolan Umbridge,@UmbridgeForCongress,D,House,CA,CA-47,False,80,0.1875,1.000501975602473
