candidate_id,party,chamber,incumbent,tfidf,w2v,ws1_tierA,ws1_tierB,behavioral,truth
C0001,D,House,False,-0.0740995733619974,0.0623405779267628,-0.0510149649749311,-0.012777516209673,-0.40625,-0.4242
C0002,R,House,True,0.2383160712763778,0.0977726235966459,0.0985802042751462,0.0517359044527484,0.5384146341463415,0.5285
C0003,D,House,False,-0.3592674714746925,-0.1113751650880138,-0.0479345123192763,-0.0131380434302665,-0.6886363636363636,-0.6691
C0004,R,House,False,0.2840027582097263,0.1789807333194873,0.0960885041043124,0.0496214381255647,0.6166666666666667,0.7377
C0005,D,House,True,-0.2712062609253156,-0.1929484778887562,-0.055993627981823,-0.0720794429692621,-0.6587500000000001,-0.9894
C0006,R,House,False,0.2476797224619187,0.1204728402526821,0.0444747174901127,0.0862873482385367,0.63,0.5295
C0007,D,House,True,-0.3029320054392678,-0.1463287624174301,-0.0905213680090359,-0.1482460344549762,-0.6380434782608696,-0.7373
C0008,R,House,False,0.2361519504827959,0.0299847046299296,0.0619992182152536,0.0498470763802426,0.6425,0.672
C0009,D,House,True,-0.2205599272770566,-0.0911999777733335,-0.0488369467002985,-0.0143958545814768,-0.6533333333333334,-0.5761
C0010,R,House,False,0.3055304075819396,0.1557265210586253,0.0687074796143774,0.0734399927172064,0.6868421052631579,0.7616
C0011,D,House,True,-0.3630394981168836,-0.1687112266829945,-0.0924517620044085,-0.0817499580480293,-0.6125,-0.7358
C0012,R,House,False,0.3485773824628144,0.2052884444471152,0.1034337291882186,0.0478575762277553,0.6472222222222223,0.6946
C0013,D,House,True,-0.2508652301797929,-0.1807376352982219,-0.0669373354538831,-0.0359014090089316,-0.6961538461538462,-0.6103
C0014,R,House,False,0.2723177864737089,0.0845616594102797,0.0228241635702357,0.0269399270776644,0.6045454545454545,0.6706
C0015,D,House,True,-0.2494925762798499,-0.1849139396127774,-0.0789487118437982,-0.1515553765792724,-0.3925,-0.4017
C0016,R,House,False,0.3247988217352924,0.2604839256532493,0.1373033225527975,0.1253026052180579,0.775,0.9578
C0017,D,House,True,-0.3046496277137445,-0.3378336941529417,-0.1108897207728289,-0.1573374766669137,-0.6370689655172415,-0.766
C0018,R,House,False,0.2936300219580772,0.2096844782548124,0.0948703534025835,0.0867810764753133,0.78125,0.847
C0019,D,House,True,-0.175142466369695,-0.1013038513953264,-0.0604865461397129,-0.0687945924096045,-0.5194444444444444,-0.4967
C0020,R,House,False,0.2443743697627458,0.0887897754185071,0.0708585269831805,0.0574972052050721,0.5880000000000001,0.5562
C0021,I,House,False,0.1966761492624928,0.0331599625381937,0.0456436317492053,-0.0136266143580025,0.3128205128205129,0.3213
C0022,D,House,False,-0.2421227198921432,-0.1084301875881673,-0.0606228358842752,-0.0495353760592193,-0.7083333333333334,-1.0
C0023,R,House,False,0.2606827435842661,0.1193850424370999,0.0490259387795052,0.0666532888410935,0.6954545454545454,0.6673
C0024,D,House,True,-0.376698367838901,-0.255143756068237,-0.1111697971173376,-0.0705181943496976,-0.6235294117647059,-0.66
